,coin_name
0,IOTA
1,Bitcoin SV
2,Cosmos
3,Ethereum Classic
4,NEM
5,NEO
6,Ontology
7,Maker
8,Zcash
9,Basic Attenti...
10,VeChain
11,Bitcoin Gold
12,Crypto.com Chain
13,USD Coin
14,Dogecoin
15,0x
16,Paxos Standar...
17,Holo
18,BitShares
19,Bitcoin Diamond
20,ICON
21,BitTorrent
22,Bytecoin
23,Verge
24,Zilliqa
25,IOST
26,DigiByte
27,Pundi X
28,Aeternity
29,Aurora
30,THETA
31,KuCoin Shares
32,Waltonchain
33,Cryptonex
34,Stratis
35,Dai
36,Golem
37,Factom
38,Ardor
39,Mixin
40,Crypto.com
41,Horizen
42,VestChain
43,Project Pai
44,Dent
45,Clams
46,Decentraland
47,Zcoin
48,ReddCoin
49,Loom Network
50,LATOKEN
51,Arcblock
52,Loopring
53,iExec RLC
54,WaykiChain
55,Revain
56,Power Ledger
57,Newton
58,QASH
59,ODEM
60,Nexo
61,CasinoCoin
62,STASIS EURS
63,Energi
64,EDUCare
65,Enigma
66,Syscoin
67,RIF Token
68,ProximaX
69,Bibox Token
70,Ecoreal Estate
71,Celer Network
72,Unobtanium
73,CyberMiles
74,Obyte
75,Lambda
76,Linkey
77,UTRUST
78,Matic Network
79,REPO
80,Lightning Bit...
81,Cortex
82,QuarkChain
83,Hyperion
84,ILCoin
85,MediBloc [ERC20]
86,Robotina
87,SingularityNET
88,Skycoin
89,Cindicator
90,Aragon
91,Gnosis
92,Iconomi
93,Einsteinium
94,Fantom
95,CWV Chain
96,INO COIN
97,Quant
98,Nexus
99,NKN
100,Dynamic Tradi...
101,Smartlands
102,Digitex Futures
103,Eidoo
104,TokenClub
105,Metal
106,Neblio
107,Odyssey
108,Moeda Loyalty...
109,Storm
110,Ether Zero
111,WhiteCoin
112,Cosmo Coin
113,LINA
114,Matrix AI Net...
115,Nectar
116,TTC Protocol
117,Wagerr
118,BitKan
119,BitCapitalVendor
120,Dentacoin
121,Po.et
122,Request
123,Ripio Credit ...
124,BHPCoin
125,SCRL
126,SmartMesh
127,PressOne
128,Raiden Networ...
129,Achain
130,Ankr Network
131,Everipedia
132,SmartCash
133,Own
134,GoChain
135,PayPie
136,NavCoin
137,HYCON
138,Genesis Vision
139,Endor Protocol
140,Time New Bank
141,SIRIN LABS Token
142,OST
143,Vitae
144,OAX
145,Contents Prot...
146,Ruff
147,CyberVein
148,Moss Coin
149,Blocknet
150,Humanscape
151,Tripio
152,Fetch
153,Nucleus Vision
154,BridgeCoin
155,Asch
156,Spectrecoin
157,Propy
158,United Trader...
159,VIBE
160,Emercoin
161,DeepBrain Chain
162,Selfkey
163,DxChain Token
164,Fiii
165,Red Pulse Pho...
166,Content Value...
167,IoT Chain
168,DMarket
169,Melon
170,ETHLend
171,RChain
172,Scry.info
173,district0x
174,LockTrip
175,OriginTrail
176,NIX
177,IDEX
178,Pillar
179,Blue Whale EX...
180,Substratum
181,Synthetix Net...
182,OVCODE
183,Agrello
184,BitBay
185,Linda
186,PRIZM
187,Everus
188,BitTube
189,Beam
190,SingularDTV
191,Game.com
192,Electra
193,QLC Chain
194,TaaS
195,Egretia
196,Lympo
197,LBRY Credits
198,ZrCoin
199,Pascal Coin
200,Aeron
201,Aeon
202,FirstBlood
203,Internet Node...
204,Jibrel Network
205,Incent
206,Hydro
207,Primecoin
208,Spendcoin
209,Dero
210,Sphere
211,POA Network
212,Content Neutr...
213,Swarm
214,Primalbase Token
215,Nimiq
216,CanonChain
217,PCHAIN
218,WePower
219,Grid+
220,COVA
221,Stealth
222,CommerceBlock
223,Litecoin Cash
224,Etherparty
225,YOYOW
226,Esportbits
227,INMAX
228,1irstcoin
229,XTRABYTES
230,Genaro Network
231,Business Cred...
232,Paragon
233,Zeepin
234,Mobius
235,Machine Xchan...
236,ContentBox
237,Maecenas
238,STACS
239,DecentBet
240,Dock
241,Beetle Coin
242,DECENT
243,Bottos
244,NaPoleonX
245,QChi
246,BlockMason Cr...
247,HalalChain
248,Opacity
249,Ink
250,Optimal Shelf...
251,LoyalCoin
252,Litex
253,adToken
254,PTON
255,bitUSD
256,ATN
257,AIDUS TOKEN
258,Amoveo
259,ZelCash
260,I/O Coin
261,Nasdacoin
262,BOScoin
263,SpankChain
264,EveryCoin 
265,Digix Gold Token
266,ChatCoin
267,Global Social...
268,Divi
269,Bitcoin Atom
270,Ultiledger
271,Elite
